ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
4598,3-5 Years,5Y 10D,M,MONMOUTH,BL,24
4599,6-10 Years,10Y,M,MIDDLESEX,BL,54
4600,6-10 Years,8Y,M,PASSAIC,BL,41
4601,15-20 Years,20Y,M,ESSEX,BL,38
4602,3-5 Years,5Y,M,CAMDEN,BL,33
4603,21+ Years,LIFE,M,MORRIS,WH,78
4604,6-10 Years,8Y,M,MONMOUTH,BL,53
4605,3-5 Years,4Y,M,ESSEX,WH,52
4606,6-10 Years,8Y,M,CUMBERLAND,BL,36
4607,21+ Years,24Y 2M 9D,M,ESSEX,BL,37
4608,6-10 Years,10Y,M,MIDDLESEX,BL,33
4609,1-2 Years,2Y 8M 13D,M,SOMERSET,BL,35
4610,15-20 Years,20Y,M,UNION,WH,40
4611,6-10 Years,10Y,M,UNION,WH,24
4612,3-5 Years,5Y,M,PASSAIC,BL,34
4613,21+ Years,30Y,F,MERCER,BL,43
4614,3-5 Years,4Y 1M 9D,M,ESSEX,BL,29
4615,3-5 Years,4Y 6M 29D,M,ATLANTIC,WH,43
4616,3-5 Years,3Y,M,MIDDLESEX,BL,30
4617,3-5 Years,3Y 6M,M,ESSEX,BL,26
4618,3-5 Years,4Y 10M 11D,M,MERCER,BL,26
4619,15-20 Years,17Y,M,CAMDEN,BL,30
4620,21+ Years,LIFE,F,CAMDEN,WH,63
4621,21+ Years,21Y 6M,M,ATLANTIC,WH,73
4622,21+ Years,30Y,M,OCEAN,WH,32
4623,21+ Years,LIFE,M,MIDDLESEX,BL,51
4624,15-20 Years,17Y,M,GLOUCESTER,WH,41
4625,21+ Years,25Y,M,ATLANTIC,BL,53
4626,11-14 Years,12Y,M,MIDDLESEX,BL,51
4627,11-14 Years,12Y,M,CAPE MAY,BL,32
4628,6-10 Years,7Y,M,ESSEX,HS,26
4629,6-10 Years,8Y,M,ATLANTIC,BL,35
4630,21+ Years,26Y,F,BURLINGTON,WH,55
4631,6-10 Years,10Y,M,BERGEN,BL,49
4632,3-5 Years,4Y,M,CUMBERLAND,BL,53
4633,21+ Years,LIFE,M,BURLINGTON,HS,53
4634,21+ Years,LIFE,M,CAMDEN,BL,51
4635,6-10 Years,8Y,M,ESSEX,BL,34
4637,3-5 Years,5Y,M,CAMDEN,BL,26
4638,11-14 Years,13Y,M,CAPE MAY,BL,38
4639,3-5 Years,5Y,M,CAMDEN,BL,35
4640,6-10 Years,10Y,M,PASSAIC,HS,25
4641,6-10 Years,7Y,M,ESSEX,BL,22
4642,6-10 Years,10Y,M,CAMDEN,HS,76
4643,15-20 Years,20Y,M,WARREN,BL,33
4644,3-5 Years,5Y,M,ESSEX,BL,33
4645,6-10 Years,7Y,M,ESSEX,BL,22
4646,3-5 Years,4Y,M,MORRIS,BL,20
4647,21+ Years,LIFE,M,HUDSON,BL,54
4648,15-20 Years,20Y,M,ESSEX,BL,34
4649,3-5 Years,4Y,M,HUDSON,BL,26
4650,21+ Years,118Y,M,PASSAIC,HS,29
4651,1-2 Years,2Y 8M 5D,M,ESSEX,BL,31
4652,6-10 Years,10Y,M,ESSEX,WH,29
4653,3-5 Years,5Y,F,HUDSON,BL,30
4654,21+ Years,25Y,M,PASSAIC,BL,53
4655,3-5 Years,3Y,M,ATLANTIC,BL,37
4656,1-2 Years,1Y,M,PASSAIC,HS,32
4657,3-5 Years,5Y,M,GLOUCESTER,BL,25
4658,11-14 Years,12Y,M,MERCER,BL,33
4659,3-5 Years,5Y,M,ATLANTIC,BL,36
4660,21+ Years,LIFE,M,ESSEX,BL,60
4661,21+ Years,LIFE,M,BURLINGTON,BL,38
4662,21+ Years,LIFE,M,BURLINGTON,BL,37
4663,21+ Years,61Y,M,GLOUCESTER,WH,67
4664,1-2 Years,1Y 1M 29D,M,ATLANTIC,BL,26
4665,3-5 Years,4Y 8M 28D,M,ESSEX,BL,33
4666,21+ Years,50Y,M,MONMOUTH,BL,53
4667,6-10 Years,10Y,M,MIDDLESEX,HS,22
4668,6-10 Years,7Y 10D,M,GLOUCESTER,WH,23
4669,3-5 Years,5Y,M,CUMBERLAND,BL,31
4670,3-5 Years,5Y,M,MORRIS,OA,60
4671,3-5 Years,3Y 6M,M,ESSEX,BL,53
4672,3-5 Years,3Y,M,MONMOUTH,WH,20
4673,3-5 Years,3Y 11M 23D,M,ATLANTIC,WH,51
4674,3-5 Years,5Y,M,CAMDEN,BL,25
4675,1-2 Years,1Y 6M,M,UNION,BL,53
4676,3-5 Years,4Y,M,MIDDLESEX,HW,52
4677,6-10 Years,7Y,M,MERCER,BL,29
